Rank,Block_name,Suspiciousness Value(Dstar4)
1,test_io.cpp_TEST_581,1
1,mathfuncs.cpp_iPow_i_1023,1
1,mathfuncs.cpp_iPow8u_1089,1
1,mathfuncs.cpp_cvPow_1697,1
1,test_math.cpp_Core_MathTest_35,1
1,test_math.cpp_get_test_array_types_and_sizes_55,1
1,test_math.cpp_get_test_array_types_and_sizes_100,1
1,test_math.cpp_get_success_error_level_129,1
1,test_math.cpp_get_minmax_bounds_139,1
1,test_math.cpp_run_func_155,1
1,test_math.cpp_prepare_to_validation_215,1
2,mathfuncs.cpp_getMat_1242,0,333333333333333
2,mathfuncs.cpp_pow_1203,0,333333333333333
3,persistence.cpp_String_6994,0,25
3,persistence.cpp_write_7234,0,25
4,persistence.cpp_cvWriteString_4641,0,125
4,persistence.cpp_icvYMLWriteString_2122,0,125
5,persistence.hpp_ _1192,0,111111111111111
6,persistence.cpp_releaseAndGetString_6924,0,1
7,persistence.cpp_icvYMLWrite_1891,0,0769230769230769
8,system.cpp_setIppStatus_2095,0,064
8,rand.cpp_theRNG_765,0,064
9,persistence.cpp_ _6945,0,0625
10,persistence.cpp_check_if_write_struct_is_delayed_1201,0,0588235294117647
10,persistence.cpp_switch_to_Base64_state_1138,0,0588235294117647
10,system.cpp_error_968,0,0588235294117647
11,system.cpp_cvErrorStr_1043,0,0555555555555556
11,system.cpp_error_938,0,0555555555555556
11,system.cpp_formatMessage_250,0,0555555555555556
12,system.cpp_throw_242,0,0526315789473684
12,cvstd.hpp_String_647,0,0526315789473684
12,array.cpp_cvGetSubRect_1255,0,0526315789473684
13,persistence.cpp_cvRelease_6664,0,05
14,cvstd.hpp_operator=_653,0,0454545454545455
15,persistence.cpp_icvIsMat_5226,0,0416666666666667
15,persistence.cpp_icvIsMatND_5316,0,0416666666666667
16,array.cpp_cvCreateMat_98,0,04
16,persistence.cpp_cv_strcasecmp_123,0,04
16,array.cpp_cvCreateMatHeader_115,0,04
17,test_arithm.cpp_for _1463,0,0393120393120393
18,test_ds.cpp_TEST_2128,0,0392156862745098
18,test_arithm.cpp_PARAM_TEST_CASE_1620,0,0392156862745098
18,test_arithm.cpp_for _1846,0,0392156862745098
18,test_concatenation.cpp_TEST_141,0,0392156862745098
18,test_concatenation.cpp_TEST_142,0,0392156862745098
18,test_concatenation.cpp_TEST_143,0,0392156862745098
18,test_concatenation.cpp_TEST_145,0,0392156862745098
18,test_concatenation.cpp_TEST_146,0,0392156862745098
18,test_concatenation.cpp_TEST_147,0,0392156862745098
18,test_conjugate_gradient.cpp_TEST_85,0,0392156862745098
18,test_countnonzero.cpp_TEST _252,0,0392156862745098
18,test_downhill_simplex.cpp_TEST_83,0,0392156862745098
18,test_arithm.cpp_PARAM_TEST_CASE_1479,0,0392156862745098
18,test_ds.cpp_TEST_2129,0,0392156862745098
18,test_ds.cpp_TEST_2131,0,0392156862745098
18,test_ds.cpp_TEST_2132,0,0392156862745098
18,test_dxt.cpp_TEST_854,0,0392156862745098
18,test_dxt.cpp_TEST_855,0,0392156862745098
18,test_dxt.cpp_TEST_856,0,0392156862745098
18,test_dxt.cpp_TEST_891,0,0392156862745098
18,test_dxt.cpp_TEST_987,0,0392156862745098
18,test_dxt.cpp_TEST_988,0,0392156862745098
18,test_eigen.cpp_TEST_396,0,0392156862745098
18,test_eigen.cpp_TEST_397,0,0392156862745098
18,test_eigen.cpp_TEST_398,0,0392156862745098
18,test_ds.cpp_TEST_2130,0,0392156862745098
18,system.cpp_release_1512,0,0392156862745098
18,test_arithm.cpp_for _1444,0,0392156862745098
18,trace.cpp_getTraceManager_906,0,0392156862745098
18,system.cpp_gather_1437,0,0392156862745098
18,system.cpp_setData_1455,0,0392156862745098
18,system.cpp_getTlsStorage_1492,0,0392156862745098
18,system.cpp_TLSDataContainer_1497,0,0392156862745098
18,system.cpp_TLSDataContainer_1502,0,0392156862745098
18,system.cpp_gatherData_1507,0,0392156862745098
18,test_eigen.cpp_TEST_465,0,0392156862745098
18,system.cpp_getData_1531,0,0392156862745098
18,system.cpp_getCoreTlsData_1544,0,0392156862745098
18,system.cpp_DllMain_1558,0,0392156862745098
18,system.cpp_getThreadIDTLS_1592,0,0392156862745098
18,system.cpp_getThreadID_1597,0,0392156862745098
18,system.cpp_getConfigurationParameterBool_1600,0,0392156862745098
18,system.cpp_getConfigurationParameterSizeT_1624,0,0392156862745098
18,system.cpp_getConfigurationParameterString_1654,0,0392156862745098
18,system.cpp_getIPPSingleton_2061,0,0392156862745098
18,system.cpp_getIppFeatures_2071,0,0392156862745098
18,system.cpp_getIppVersion_2125,0,0392156862745098
18,system.cpp_useIPP_2138,0,0392156862745098
18,trace.cpp_implFlags_422,0,0392156862745098
18,trace.cpp_TraceManager_822,0,0392156862745098
18,trace.cpp_TraceManager_843,0,0392156862745098
18,trace.cpp_getTraceManagerCallOnce_901,0,0392156862745098
18,test_eigen.cpp_TEST_399,0,0392156862745098
18,test_io.cpp_TEST_523,0,0392156862745098
18,test_eigen.cpp_TEST_466,0,0392156862745098
18,test_math.cpp_TEST_2752,0,0392156862745098
18,test_math.cpp_TEST_2741,0,0392156862745098
18,test_math.cpp_TEST_2742,0,0392156862745098
18,test_math.cpp_TEST_2743,0,0392156862745098
18,test_math.cpp_TEST_2744,0,0392156862745098
18,test_math.cpp_TEST_2745,0,0392156862745098
18,test_math.cpp_TEST_2746,0,0392156862745098
18,test_math.cpp_TEST_2747,0,0392156862745098
18,test_math.cpp_TEST_2748,0,0392156862745098
18,test_math.cpp_TEST_2749,0,0392156862745098
18,test_math.cpp_TEST_2750,0,0392156862745098
18,test_math.cpp_TEST_2751,0,0392156862745098
18,test_math.cpp_TEST_2753,0,0392156862745098
18,test_math.cpp_TEST_2739,0,0392156862745098
18,test_math.cpp_TEST_2754,0,0392156862745098
18,test_math.cpp_TEST_2755,0,0392156862745098
18,test_math.cpp_TEST_2756,0,0392156862745098
18,test_math.cpp_TEST_2757,0,0392156862745098
18,test_math.cpp_TEST_2902,0,0392156862745098
18,test_operations.cpp_TEST_1146,0,0392156862745098
18,test_operations.cpp_TEST_1235,0,0392156862745098
18,test_rand.cpp_TEST_305,0,0392156862745098
18,test_rand.cpp_TEST_340,0,0392156862745098
18,test_rotatedrect.cpp_TEST_107,0,0392156862745098
18,test_umat.cpp_TEST_884,0,0392156862745098
18,test_math.cpp_TEST_2740,0,0392156862745098
18,test_mat.cpp_TEST_1164,0,0392156862745098
18,test_eigen.cpp_TEST_486,0,0392156862745098
18,test_intrin.cpp_TEST_172,0,0392156862745098
18,test_eigen.cpp_TEST_487,0,0392156862745098
18,test_eigen.cpp_TEST_501,0,0392156862745098
18,test_eigen.cpp_TEST_502,0,0392156862745098
18,test_eigen.cpp_TEST_519,0,0392156862745098
18,test_eigen.cpp_TEST_520,0,0392156862745098
18,test_intrin.cpp_TEST_18,0,0392156862745098
18,test_intrin.cpp_TEST_40,0,0392156862745098
18,test_intrin.cpp_TEST_64,0,0392156862745098
18,test_intrin.cpp_TEST_90,0,0392156862745098
18,test_intrin.cpp_TEST_119,0,0392156862745098
18,test_intrin.cpp_TEST_144,0,0392156862745098
18,test_intrin.cpp_TEST_183,0,0392156862745098
18,test_mat.cpp_TEST_1163,0,0392156862745098
18,test_intrin.cpp_TEST_196,0,0392156862745098
18,test_intrin.cpp_TEST_220,0,0392156862745098
18,test_io.cpp_TEST_388,0,0392156862745098
18,system.cpp_reserveSlot_1378,0,0392156862745098
18,test_lpsolver.cpp_TEST_44,0,0392156862745098
18,test_lpsolver.cpp_TEST_81,0,0392156862745098
18,test_lpsolver.cpp_TEST_96,0,0392156862745098
18,test_lpsolver.cpp_TEST_109,0,0392156862745098
18,test_lpsolver.cpp_TEST_126,0,0392156862745098
18,test_mat.cpp_TEST_1160,0,0392156862745098
18,test_mat.cpp_TEST_1161,0,0392156862745098
18,system.cpp_releaseSlot_1399,0,0392156862745098
18,cvstd.hpp_len__581,0,0392156862745098
18,system.cpp_tlsSlotsSize_1336,0,0392156862745098
18,ocl.cpp_hostUnifiedMemory_1453,0,0392156862745098
18,ocl.cpp_doubleFPConfig_1413,0,0392156862745098
18,ocl.cpp_available_1400,0,0392156862745098
18,ocl.cpp_addressBits_1397,0,0392156862745098
18,ocl.cpp_type_1394,0,0392156862745098
18,ocl.cpp_driverVersion_1391,0,0392156862745098
18,ocl.cpp_version_1370,0,0392156862745098
18,ocl.cpp_extensions_1364,0,0392156862745098
18,ocl.cpp_name_1361,0,0392156862745098
18,ocl.cpp_set_1349,0,0392156862745098
18,ocl.cpp_Device_1343,0,0392156862745098
18,ocl.cpp_Device_1314,0,0392156862745098
18,ocl.cpp_getStrProp_1276,0,0392156862745098
18,ocl.cpp_Impl_1199,0,0392156862745098
18,ocl.cpp_parseDeviceVersion_1180,0,0392156862745098
18,ocl.cpp_haveAmdFft_1066,0,0392156862745098
18,ocl.cpp_localMemSize_1447,0,0392156862745098
18,ocl.cpp_maxComputeUnits_1517,0,0392156862745098
18,ocl.cpp_getDevices_5817,0,0392156862745098
18,ocl.cpp_maxMemAllocSize_1526,0,0392156862745098
18,system.cpp_ThreadData_1321,0,0392156862745098
18,ocl.cpp_device_2350,0,0392156862745098
18,ocl.cpp_setDefault_1952,0,0392156862745098
18,ocl.cpp_Impl_1947,0,0392156862745098
18,ocl.cpp_selectOpenCLDevice_1698,0,0392156862745098
18,ocl.cpp_char_tolower_1694,0,0392156862745098
18,ocl.cpp_getStringInfo_1625,0,0392156862745098
18,ocl.cpp_getDefault_1614,0,0392156862745098
18,ocl.cpp_preferredVectorWidthDouble_1597,0,0392156862745098
18,ocl.cpp_preferredVectorWidthFloat_1594,0,0392156862745098
18,ocl.cpp_preferredVectorWidthLong_1591,0,0392156862745098
18,ocl.cpp_preferredVectorWidthInt_1588,0,0392156862745098
18,ocl.cpp_preferredVectorWidthShort_1585,0,0392156862745098
18,ocl.cpp_preferredVectorWidthChar_1582,0,0392156862745098
18,ocl.cpp_maxWorkGroupSize_1541,0,0392156862745098
