Rank,Block_name,Suspiciousness Value(Dstar4)
1,test_math.cpp_get_rng_140,1
1,test_math.cpp_get_test_array_types_and_sizes_60,1
1,test_io.cpp_releaseAndGetString_588,1
1,test_io.cpp_ASSERT_STREQ_588,1
1,test_io.cpp_EXPECT_NO_THROW_586,1
1,test_io.cpp_EXPECT_NO_THROW_585,1
1,test_io.cpp_EXPECT_NO_THROW_584,1
1,persistence.cpp_CV_Error__6971,1
1,persistence.cpp_cv_isalpha_6969,1
1,test_math.cpp_ipow_243,1
1,test_math.cpp_abs_221,1
1,test_math.cpp_cvRound_221,1
1,test_math.cpp_channels_220,1
1,test_math.cpp_depth_219,1
1,test_math.cpp_cvPow_172,1
1,test_math.cpp_depth_158,1
1,test_math.cpp_fabs_158,1
1,test_math.cpp_cvRound_148,1
1,test_math.cpp_randInt_68,1
1,test_math.cpp_get_rng_101,1
1,test_math.cpp_randInt_102,1
1,test_math.cpp_randInt_103,1
1,test_math.cpp_randInt_140,1
1,test_math.cpp_cvRound_132,1
1,test_math.cpp_depth_130,1
1,test_math.cpp_randInt_124,1
1,test_math.cpp_randInt_110,1
1,test_math.cpp_get_test_array_types_and_sizes_105,1
1,test_io.cpp_c_str_588,1
1,test_math.cpp_CV_MAKETYPE_58,1
1,test_math.cpp_push_back_40,1
1,mathfuncs.cpp_max_1029,1
1,mathfuncs.cpp_cv_abs_1034,1
1,mathfuncs.cpp_:_1034,1
1,mathfuncs.cpp_cvarrToMat_1698,1
1,mathfuncs.cpp_CV_Assert_1699,1
1,mathfuncs.cpp_pow_1700,1
1,test_math.cpp_push_back_38,1
1,test_math.cpp_push_back_39,1
1,test_math.cpp_randInt_108,1
1,test_math.cpp_get_rng_56,1
1,test_math.cpp_randInt_58,1
1,test_math.cpp_randInt_57,1
2,mathfuncs.cpp_CV_Assert_1250,0,5
2,mathfuncs.cpp_func_1253,0,5
2,mathfuncs.cpp_fabs_1255,0,5
3,mathfuncs.cpp_ocl_pow_1236,0,333333333333333
3,mathfuncs.cpp_CV_INSTRUMENT_REGION_1204,0,333333333333333
3,mathfuncs.cpp_isIntel_1215,0,333333333333333
3,mathfuncs.cpp_Device_1215,0,333333333333333
3,mathfuncs.cpp_dims_1210,0,333333333333333
3,mathfuncs.cpp_getMat_1240,0,333333333333333
3,mathfuncs.cpp_create_1239,0,333333333333333
3,mathfuncs.cpp_getMat_1238,0,333333333333333
3,mathfuncs.cpp_isUMat_1210,0,333333333333333
3,mathfuncs.cpp_CV_MAT_DEPTH_1206,0,333333333333333
3,mathfuncs.cpp_CV_OCL_RUN_1236,0,333333333333333
3,mathfuncs.cpp_cvRound_1207,0,333333333333333
3,mathfuncs.cpp_fabs_1208,0,333333333333333
3,mathfuncs.cpp_CV_MAT_CN_1207,0,333333333333333
4,persistence.cpp_cv_isalnum_1975,0,25
4,persistence.cpp_cvWriteString_7234,0,25
4,persistence.cpp_c_str_7234,0,25
4,persistence.cpp_write_6994,0,25
5,persistence.cpp_CV_CHECK_OUTPUT_FILE_STORAGE_4642,0,125
5,persistence.cpp_icvYMLWrite_2177,0,125
5,persistence.cpp_cv_isdigit_2167,0,125
5,persistence.cpp_strlen_2130,0,125
5,persistence.cpp_write_string_4643,0,125
6,persistence.hpp_String_1193,0,111111111111111
7,persistence.cpp_release_6929,0,1
7,persistence.cpp_clear_664,0,1
7,persistence.cpp_icvClose_6927,0,1
8,persistence.cpp_icvFSResizeWriteBuffer_1987,0,0769230769230769
8,persistence.cpp_CV_NODE_IS_MAP_1955,0,0769230769230769
8,persistence.cpp_icvFSFlush_1954,0,0769230769230769
8,persistence.cpp_CV_NODE_IS_FLOW_1937,0,0769230769230769
8,persistence.cpp_strlen_1935,0,0769230769230769
8,persistence.cpp_CV_NODE_IS_COLLECTION_1912,0,0769230769230769
8,persistence.cpp_strlen_1926,0,0769230769230769
8,persistence.cpp_CV_NODE_IS_MAP_1914,0,0769230769230769
8,persistence.cpp_icvFSResizeWriteBuffer_1968,0,0769230769230769
8,persistence.cpp_switch_to_Base64_state_1895,0,0769230769230769
8,persistence.cpp_check_if_write_struct_is_delayed_1892,0,0769230769230769
8,persistence.cpp_cv_isalpha_1965,0,0769230769230769
8,persistence.cpp_CV_NODE_IS_FLOW_1981,0,0769230769230769
8,persistence.cpp_memcpy_1988,0,0769230769230769
9,system.cpp_getIPPSingleton_2099,0,064
9,system.cpp_getIPPSingleton_2100,0,064
9,rand.cpp_getCoreTlsData_766,0,064
9,rand.cpp_get_766,0,064
9,system.cpp_getIPPSingleton_2097,0,064
9,system.cpp_getIPPSingleton_2098,0,064
10,persistence.cpp_isOpened_6952,0,0625
10,persistence.cpp_c_str_6951,0,0625
11,persistence.cpp_icvPuts_642,0,0588235294117647
11,persistence.cpp_icvPuts_4405,0,0588235294117647
11,system.cpp_Exception_969,0,0588235294117647
11,system.cpp_error_969,0,0588235294117647
12,system.cpp_c_str_940,0,0555555555555556
12,system.cpp_c_str_252,0,0555555555555556
12,system.cpp_customErrorCallback_940,0,0555555555555556
12,system.cpp_error:_252,0,0555555555555556
12,system.cpp_format_252,0,0555555555555556
12,persistence.cpp_copy_397,0,0555555555555556
12,system.cpp_CV_THROW_964,0,0555555555555556
12,persistence.cpp_back_inserter_397,0,0555555555555556
12,persistence.cpp_strlen_397,0,0555555555555556
13,cvstd.hpp_deallocate_648,0,0526315789473684
13,system.cpp_Exception_242,0,0526315789473684
13,array.cpp_CV_IS_MAT_1259,0,0526315789473684
14,persistence.cpp_cvTypeOf_6672,0,05
14,persistence.cpp_release_6678,0,05
15,cvstd.hpp_CV_XADD_657,0,0454545454545455
15,cvstd.hpp_deallocate_656,0,0454545454545455
16,persistence.cpp_CV_IS_MATND_HDR_5317,0,0416666666666667
16,persistence.cpp_CV_IS_MAT_HDR_Z_5227,0,0416666666666667
17,array.cpp_CV_MAT_TYPE_116,0,04
17,array.cpp_cvCreateData_100,0,04
17,array.cpp_CV_ELEM_SIZE_121,0,04
17,array.cpp_cvCreateMatHeader_99,0,04
17,array.cpp_cvAlloc_126,0,04
17,persistence.cpp_tolower_135,0,04
17,persistence.cpp_cv_strcasecmp_4284,0,04
17,array.cpp_icvCheckHuge_136,0,04
17,persistence.cpp_strlen_129,0,04
17,persistence.cpp_strlen_130,0,04
18,test_downhill_simplex.cpp_TEST_83,0,0392156862745098
18,test_conjugate_gradient.cpp_TEST_85,0,0392156862745098
18,test_countnonzero.cpp_TEST_252,0,0392156862745098
18,test_countnonzero.cpp_safe_run_252,0,0392156862745098
18,test_eigen.cpp_safe_run_398,0,0392156862745098
18,test_ds.cpp_TEST_2128,0,0392156862745098
18,test_ds.cpp_safe_run_2128,0,0392156862745098
18,test_ds.cpp_TEST_2129,0,0392156862745098
18,test_concatenation.cpp_TEST_147,0,0392156862745098
18,test_concatenation.cpp_safe_run_147,0,0392156862745098
18,test_concatenation.cpp_safe_run_141,0,0392156862745098
18,test_concatenation.cpp_safe_run_146,0,0392156862745098
18,test_concatenation.cpp_TEST_146,0,0392156862745098
18,test_concatenation.cpp_safe_run_145,0,0392156862745098
18,test_concatenation.cpp_TEST_145,0,0392156862745098
18,test_concatenation.cpp_safe_run_143,0,0392156862745098
18,test_concatenation.cpp_TEST_143,0,0392156862745098
18,test_concatenation.cpp_safe_run_142,0,0392156862745098
18,test_concatenation.cpp_TEST_142,0,0392156862745098
18,test_ds.cpp_TEST_2130,0,0392156862745098
18,test_ds.cpp_safe_run_2129,0,0392156862745098
18,test_dxt.cpp_safe_run_855,0,0392156862745098
18,test_ds.cpp_safe_run_2130,0,0392156862745098
18,test_ds.cpp_TEST_2131,0,0392156862745098
18,test_eigen.cpp_safe_run_397,0,0392156862745098
18,test_eigen.cpp_TEST_397,0,0392156862745098
18,test_eigen.cpp_safe_run_396,0,0392156862745098
18,test_eigen.cpp_TEST_396,0,0392156862745098
18,test_dxt.cpp_safe_run_988,0,0392156862745098
18,test_dxt.cpp_TEST_988,0,0392156862745098
18,test_dxt.cpp_safe_run_987,0,0392156862745098
18,test_dxt.cpp_TEST_987,0,0392156862745098
18,test_dxt.cpp_safe_run_891,0,0392156862745098
18,test_dxt.cpp_TEST_891,0,0392156862745098
18,test_dxt.cpp_safe_run_856,0,0392156862745098
18,test_dxt.cpp_TEST_856,0,0392156862745098
18,test_arithm.cpp_Values_1936,0,0392156862745098
18,test_dxt.cpp_TEST_855,0,0392156862745098
18,test_dxt.cpp_safe_run_854,0,0392156862745098
18,test_dxt.cpp_TEST_854,0,0392156862745098
18,test_ds.cpp_safe_run_2132,0,0392156862745098
18,test_ds.cpp_TEST_2132,0,0392156862745098
18,test_ds.cpp_safe_run_2131,0,0392156862745098
18,test_concatenation.cpp_TEST_141,0,0392156862745098
18,test_arithm.cpp_GET_PARAM_1787,0,0392156862745098
18,test_arithm.cpp_Values_1926,0,0392156862745098
