Rank,Block_name,Suspiciousness Value(Dstar4)
1,test_math.cpp_randInt_rng_68,1
1,test_math.cpp_cvRound_power_148,1
1,test_math.cpp_randInt_ts_get_rng_140,1
1,test_math.cpp_cvRound_power_132,1
1,test_math.cpp_depth_130,1
1,test_math.cpp_randInt_rng_124,1
1,test_math.cpp_randInt_rng_108,1
1,test_math.cpp_get_test_array_types_and_sizes_test_case_idx_sizes_types_105,1
1,test_math.cpp_randInt_rng_103,1
1,test_math.cpp_randInt_rng_102,1
1,test_math.cpp_get_rng_101,1
1,test_math.cpp_get_test_array_types_and_sizes_test_case_idx_sizes_types_60,1
1,test_math.cpp_CV_MAKETYPE_depth_cn_58,1
1,test_math.cpp_randInt_rng_58,1
1,test_math.cpp_randInt_rng_57,1
1,test_math.cpp_get_rng_56,1
1,test_math.cpp_push_back_NULL_40,1
1,test_math.cpp_push_back_NULL_39,1
1,test_math.cpp_push_back_NULL_38,1
1,mathfuncs.cpp_pow_src_power_dst_1700,1
1,mathfuncs.cpp_CV_Assert_src_type_dst_type_src_size_dst_size_1699,1
1,mathfuncs.cpp_cvarrToMat_dstarr_1698,1
1,mathfuncs.cpp_cvarrToMat_srcarr_1698,1
1,mathfuncs.cpp_:_T_1034,1
1,mathfuncs.cpp_cv_abs_val_1034,1
1,test_math.cpp_get_rng_140,1
1,test_math.cpp_randInt_rng_110,1
1,test_math.cpp_fabs_power_158,1
1,matrix.cpp_allocate_bufferSize_4512,1
1,test_operations.cpp_norm_expected_result_NORM_INF_1386,1
1,test_operations.cpp_EXPECT_EQ_cvtest_norm_expected_result_NORM_INF_1386,1
1,test_operations.cpp_ASSERT_EQ_expected_size_result_size_1385,1
1,test_operations.cpp_col_1380,1
1,test_operations.cpp_sortIdx_src_col_result_CV_SORT_EVERY_COLUMN_CV_SORT_ASCENDING_1380,1
1,out.cpp_sprintf_buf_d_mtx_ptr_int_row_col_cn_77,1
1,out.cpp_valueToStr32s_77,1
1,test_math.cpp_depth_158,1
1,matrix.cpp_reshape_dstSub_rows_4523,1
1,matrix.cpp_CV_INSTRUMENT_FUN_IPP_ippsSortRadixIndex_void_src_ptr_i_pixStride_Ipp32s_dstRow_ptr_src_rows_buffer_4520,1
1,matrix.cpp_Mat_dst_subRect_4518,1
1,matrix.cpp_copyTo_dstSub_4524,1
1,matrix.cpp_ippsSortRadixIndexGetBufferSize_src_rows_type_bufferSize_4509,1
1,matrix.cpp_subRect_src_rows_4505,1
1,test_math.cpp_cvPow_test_array_INPUT_test_array_OUTPUT_power_172,1
1,test_math.cpp_depth_219,1
1,test_math.cpp_channels_220,1
1,test_math.cpp_cvRound_power_221,1
1,test_math.cpp_abs_ipower_221,1
1,test_math.cpp_ipow_val_ipower_243,1
1,matrix.cpp_dstRow_dst_rows_dst_type_4503,1
1,mathfuncs.cpp_max_1029,1
2,mathfuncs.cpp_fabs_power_1255,0,5
2,mathfuncs.cpp_fabs_fabs_power_1255,0,5
2,mathfuncs.cpp_func_ptrs_ptrs_len_ipower_1253,0,5
2,mathfuncs.cpp_CV_Assert_func_1250,0,5
3,mathfuncs.cpp_isIntel_1215,0,333333333333333
3,mathfuncs.cpp_Device_1215,0,333333333333333
3,mathfuncs.cpp_dims_1210,0,333333333333333
3,mathfuncs.cpp_CV_OCL_RUN_useOpenCL_ocl_pow__src_power__dst_is_ipower_ipower_1236,0,333333333333333
3,mathfuncs.cpp_getMat_1240,0,333333333333333
3,mathfuncs.cpp_create_src_dims_src_size_type_1239,0,333333333333333
3,mathfuncs.cpp_cvRound_power_1207,0,333333333333333
3,mathfuncs.cpp_ocl_pow__src_power__dst_is_ipower_ipower_1236,0,333333333333333
3,mathfuncs.cpp_getMat_1238,0,333333333333333
3,mathfuncs.cpp_CV_MAT_CN_type_1207,0,333333333333333
3,mathfuncs.cpp_isUMat_1210,0,333333333333333
3,mathfuncs.cpp_fabs_ipower_power_1208,0,333333333333333
3,mathfuncs.cpp_CV_INSTRUMENT_REGION_1204,0,333333333333333
3,mathfuncs.cpp_CV_MAT_DEPTH_type_1206,0,333333333333333
4,matrix.cpp_init__arrays__planes__narrays_4828,0,242424242424242
4,matrix.cpp_CV_Assert_arrays_i_4922,0,242424242424242
4,matrix.cpp_Mat_int_size_A_type_A_data_4931,0,242424242424242
5,mat.inl.hpp_release_690,0,225352112676056
6,matrix.cpp_CV_Assert_A_size_arrays_i0_size_4881,0,197530864197531
7,mat.inl.hpp_CV_ELEM_SIZE1__type_502,0,173913043478261
7,mat.inl.hpp_CV_ELEM_SIZE__type_502,0,173913043478261
8,mat.inl.hpp_CV_Assert_total_data_NULL_500,0,172043010752688
8,mat.inl.hpp_total_500,0,172043010752688
9,matrix.cpp_CV_Assert_narrays_4854,0,161616161616162
10,mat.inl.hpp_release_1365,0,150943396226415
11,matrix.cpp_kind_1966,0,139130434782609
12,matrix.cpp_isContinuous_4883,0,126984126984127
13,matrix.cpp_CV_Assert__arrays__ptrs__planes_4839,0,125984251968504
13,matrix.cpp_CV_Assert_arrays_i_4861,0,125984251968504
14,matrix.cpp_CV_Assert_d_d_CV_MAX_DIM__sizes_391,0,121212121212121
14,matrix.cpp_CV_MAT_TYPE__type_392,0,121212121212121
15,mat.inl.hpp_kind_147,0,119402985074627
16,matrix.cpp_create_src_size_CV_32S_4565,0,111111111111111
16,matrix.cpp_getMat_4566,0,111111111111111
16,matrix.cpp_CV_IPP_RUN_FAST_ipp_sortIdx_src_dst_flags_4568,0,111111111111111
16,out.cpp_depth_109,0,111111111111111
16,out.cpp_empty_133,0,111111111111111
16,matrix.cpp_channels_4561,0,111111111111111
16,cvstd.inl.hpp_next_175,0,111111111111111
16,matrix.cpp_CV_XADD_u_refcount_541,0,111111111111111
16,system.cpp_va_start_va_fmt_910,0,111111111111111
16,matrix.cpp_getMat_4562,0,111111111111111
16,matrix.cpp_ipp_sortIdx_src_dst_flags_4568,0,111111111111111
16,matrix.cpp_CV_Assert_src_dims_src_channels_4561,0,111111111111111
16,matrix.cpp_CV_INSTRUMENT_REGION_4558,0,111111111111111
16,out.cpp_min_precision_106,0,111111111111111
16,out.cpp_cv_snprintf_floatFormat_sizeof_floatFormat_dg_std_min_precision_106,0,111111111111111
16,out.cpp_memcpy_braces_br_92,0,111111111111111
16,out.cpp_channels_91,0,111111111111111
16,out.cpp_CV_Assert_m_dims_86,0,111111111111111
16,matrix.cpp_CV_INSTRUMENT_REGION_IPP_4475,0,111111111111111
16,matrix.cpp_depth_4478,0,111111111111111
16,matrix.cpp_ippiGetDataType_depth_4479,0,111111111111111
16,matrix.cpp_getMat_4560,0,111111111111111
16,matrix.cpp_getSortIndexFunc_depth_sortDescending_4482,0,111111111111111
16,matrix.cpp_elemSize1_4480,0,111111111111111
16,system.cpp_cv_vsnprintf_buf_len_fmt_va_911,0,111111111111111
16,out.cpp_c_str_139,0,111111111111111
16,out.cpp_next_233,0,111111111111111
16,cvstd.inl.hpp_reset_174,0,111111111111111
16,out.cpp_c_str_159,0,111111111111111
17,matrix.cpp_CV_Assert_roi_x_roi_width_roi_x_roi_width_m_cols_538,0,0909090909090909
17,matrix.cpp_CV_Assert_m_dims_532,0,0909090909090909
17,matrix.cpp_CV_ELEM_SIZE_flags_536,0,0909090909090909
18,mat.inl.hpp_Range_x_x_733,0,0714285714285714
18,mat.inl.hpp_all_733,0,0714285714285714
18,mat.inl.hpp_Mat_this_Range_all_Range_x_x_733,0,0714285714285714
19,system.cpp_getIPPSingleton_2100,0,064
19,rand.cpp_getCoreTlsData_766,0,064
19,system.cpp_getIPPSingleton_2099,0,064
19,system.cpp_getIPPSingleton_2098,0,064
19,system.cpp_getIPPSingleton_2097,0,064
19,rand.cpp_get_766,0,064
20,matrix.cpp_CV_Assert__colRange_start__colRange_start__colRange_501,0,0625
21,array.cpp_CV_IS_MAT_mat_1259,0,0526315789473684
22,persistence.cpp_release_struct_ptr_6678,0,05
22,persistence.cpp_cvTypeOf_struct_ptr_6672,0,05
23,matrix.cpp_elemSize1_1120,0,0454545454545455
23,matrix.cpp_isContinuous_1106,0,0454545454545455
23,mat.inl.hpp_total_896,0,0454545454545455
23,matrix.cpp_elemSize_504,0,0454545454545455
24,persistence.cpp_CV_IS_MATND_HDR_ptr_5317,0,0416666666666667
24,persistence.cpp_CV_IS_MAT_HDR_Z_ptr_5227,0,0416666666666667
25,array.cpp_CV_MAT_TYPE_type_116,0,04
25,array.cpp_cvCreateMatHeader_height_width_type_99,0,04
25,array.cpp_cvCreateData_arr_100,0,04
25,array.cpp_CV_ELEM_SIZE_type_121,0,04
25,array.cpp_cvAlloc_sizeof_arr_126,0,04
25,array.cpp_icvCheckHuge_arr_136,0,04
26,test_downhill_simplex.cpp_TEST_Core_DownhillSolver_regression_basic_83,0,0392156862745098
26,test_ds.cpp_TEST_Core_DS_Graph_basic_operations_2131,0,0392156862745098
26,test_ds.cpp_safe_run_2130,0,0392156862745098
26,test_ds.cpp_TEST_Core_DS_Set_basic_operations_2130,0,0392156862745098
26,test_ds.cpp_safe_run_2129,0,0392156862745098
26,test_ds.cpp_safe_run_2131,0,0392156862745098
26,test_ds.cpp_TEST_Core_DS_Seq_sort_invert_2129,0,0392156862745098
26,test_ds.cpp_safe_run_2128,0,0392156862745098
26,test_ds.cpp_TEST_Core_DS_Seq_basic_operations_2128,0,0392156862745098
26,test_concatenation.cpp_safe_run_146,0,0392156862745098
26,test_countnonzero.cpp_safe_run_252,0,0392156862745098
26,test_countnonzero.cpp_TEST_Core_CountNonZero_accuracy_252,0,0392156862745098
26,test_conjugate_gradient.cpp_TEST_Core_ConjGradSolver_regression_basic_85,0,0392156862745098
26,test_concatenation.cpp_safe_run_147,0,0392156862745098
26,test_concatenation.cpp_test_false_true_true_147,0,0392156862745098
26,test_concatenation.cpp_TEST_Core_Concatenation_vconcat_empty_empty_147,0,0392156862745098
26,test_ds.cpp_safe_run_2132,0,0392156862745098
26,test_concatenation.cpp_test_false_false_true_146,0,0392156862745098
26,test_concatenation.cpp_TEST_Core_Concatenation_vconcat_nonempty_empty_146,0,0392156862745098
