Rank,Block_name,Suspiciousness Value(Ochiai)
1,test_utils.cpp_TEST_256,NaN
1,test_dxt.cpp_get_success_error_level_650,NaN
1,dxt.cpp_dct_4246,NaN
1,dxt.cpp_idct_4270,NaN
1,matrix.cpp_cvMatToMat_662,0.138675049056307
1,matrix.cpp_transposeI__3443,NaN
1,parallel.cpp_)_244,NaN
1,persistence.cpp_icvIsMat_5226,NaN
1,persistence.cpp_icvIsMatND_5316,NaN
1,persistence.cpp_icvIsImage_5589,NaN
1,trace.cpp_TraceManagerThreadLocal_700,NaN
1,test_dxt.cpp_DCT_2D_213,NaN
1,test_dxt.cpp_temp_dst_528,NaN
1,test_dxt.cpp_get_test_array_types_and_sizes_545,NaN
1,test_dxt.cpp_prepare_test_case_656,NaN
1,test_ds.cpp_run_983,NaN
1,test_dxt.cpp_run_func_759,NaN
1,test_dxt.cpp_prepare_to_validation_771,NaN
1,test_dxt.cpp_run_927,NaN
1,utility.hpp_allocate_995,NaN
1,dxt.cpp_)_386,NaN
1,dxt.cpp_DFT_32f_1507,NaN
1,dxt.cpp_DFT_64f_1512,NaN
1,dxt.cpp_RealDFT_32f_1518,NaN
1,dxt.cpp_RealDFT_64f_1523,NaN
1,dxt.cpp_CCSIDFT_32f_1528,NaN
1,dxt.cpp_CCSIDFT_64f_1533,NaN
1,dxt.cpp_)_1566,NaN
1,dxt.cpp_create_4226,NaN
1,dxt.cpp_init_4079,NaN
1,dxt.cpp_DctIPPLoop_3959,NaN
1,dxt.cpp_if_3826,NaN
1,test_ds.cpp_icvCmpSeqElems2_1063,NaN
1,test_ds.cpp_run_1069,NaN
1,test_ds.cpp_clear_1233,NaN
1,test_ds.cpp_run_1378,NaN
1,test_ds.cpp_clear_1449,NaN
1,test_ds.cpp_if_1597,NaN
1,test_ds.cpp_if_1692,NaN
1,test_ds.cpp_run_1806,NaN
1,mat.inl_step_564,NaN
1,test_ds.cpp_clear_381,NaN
1,test_ds.cpp_run_1922,NaN
1,test_ds.cpp_if_1956,NaN
1,stat.cpp_ _3129,NaN
1,mat.inl_row_726,NaN
1,ptr.inl_stored_122,NaN
1,trace.private_parallel_for_stack_size_275,NaN
1,array.cpp_cvCreateMatHeader_115,0.14142135623731
2,array.cpp_cvCreateData_795,0.138675049056307
2,array.cpp_cvGetSubRect_1255,NaN
2,array.cpp_cvCreateImage_2901,NaN
2,array.cpp_cvReleaseImage_2994,NaN
2,array.cpp_cvSetImageROI_3011,NaN
2,dxt.cpp_DCT_64f_3784,NaN
2,dxt.cpp_IDCT_64f_3790,NaN
2,dxt.cpp_)_3821,NaN
2,dxt.cpp_)_1574,NaN
2,dxt.cpp_)_1647,NaN
2,dxt.cpp_)_1655,NaN
2,dxt.cpp_mulSpectrums_3539,NaN
2,test_dxt.cpp_get_success_error_level_799,NaN
2,test_dxt.cpp_run_func_813,NaN
2,test_dxt.cpp_prepare_to_validation_831,NaN
2,lapack.cpp_JacobiImpl__107,NaN
2,matmul.cpp_GEMMSingleMul_140,NaN
2,matmul.cpp_GEMMSingleMul_32f_584,NaN
2,matmul.cpp_MulTransposedL_2805,NaN
2,matop.cpp_ _824,NaN
2,matop.cpp_assign_1510,NaN
2,matop.cpp_makeExpr_1578,NaN
2,test_eigen.cpp_run_144,NaN
