Rank,Block_name,Suspiciousness Value(Dstar4)
1,test_lr.cpp_convertTo__p_labels_temp_CV_32S_72,2147483647
1,test_lr.cpp_setIterations_108,2147483647
1,test_lr.cpp_calculateError_responses_tdata_getResponses_error_121,2147483647
1,test_lr.cpp_CV_TRACE_FUNCTION_67,2147483647
1,test_lr.cpp_convertTo__o_labels_temp_CV_32S_73,2147483647
1,test_lr.cpp_CV_Assert__p_labels_temp_total__o_labels_temp_total_75,2147483647
1,test_lr.cpp_total_75,2147483647
1,test_lr.cpp_CV_Assert__p_labels_temp_rows__o_labels_temp_rows_76,2147483647
1,test_lr.cpp_countNonZero__p_labels_temp__o_labels_temp_78,2147483647
1,test_lr.cpp_CV_TRACE_FUNCTION_95,2147483647
1,test_lr.cpp_loadFromCSV_dataFileName_98,2147483647
1,test_lr.cpp_empty_100,2147483647
1,test_lr.cpp_create_106,2147483647
1,test_lr.cpp_setLearningRate_107,2147483647
1,test_lr.cpp_get_data_path_97,2147483647
1,test_lr.cpp_setRegularization_LogisticRegression_REG_L2_109,2147483647
1,test_lr.cpp_setTrainMethod_LogisticRegression_BATCH_110,2147483647
1,test_lr.cpp_getSamples_116,2147483647
1,test_lr.cpp_predict_tdata_getSamples_responses_116,2147483647
1,test_lr.cpp_getResponses_121,2147483647
1,test_lr.cpp_train_tdata_112,2147483647
1,test_lr.cpp_setMiniBatchSize_111,2147483647
1,test_lr.cpp_set_failed_test_info_test_code_140,2147483647
1,test_lr.cpp_release_138,2147483647
1,test_lr.cpp_get_learnt_thetas_136,2147483647
1,test_lr.cpp_getResponses_134,2147483647
1,test_lr.cpp_printf_cvtest_TS_LOG_Bad_accuracy_of_f_n_error_128,2147483647
2,lr.cpp__init_theta_Range_n_Range_all_339,1
2,lr.cpp_empty_312,1
2,lr.cpp_copyTo_results_308,1
2,lr.cpp_CV_TRACE_FUNCTION_317,1
2,lr.cpp_CV_TRACE_FUNCTION_325,1
2,lr.cpp_calc_sigmoid__data__init_theta_357,1
2,lr.cpp_Range_n_339,1
2,lr.cpp_all_339,1
2,lr.cpp_multiply_theta_b_theta_b_theta_c_353,1
2,lr.cpp_sum_theta_c_354,1
2,lr.cpp_LogisticRegressionImpl_89,1
2,lr.cpp_log_d_a_d_a_358,1
2,lr.cpp_LogisticRegressionImpl_88,1
2,lr.cpp_needed_300,1
2,lr.cpp_get_learnt_thetas_103,1
2,lr.cpp_isTrained_105,1
2,lr.cpp_empty_105,1
2,lr.cpp_CV_TRACE_FUNCTION_SKIP_NESTED_138,1
2,lr.cpp_clear_145,1
2,lr.cpp_getSamples_146,1
2,lr.cpp_getResponses_147,1
2,lr.cpp_CV_Assert__labels_i_empty__data_i_empty_150,1
2,lr.cpp_empty_150,1
2,lr.cpp_set_label_map__labels_i_165,1
2,lr.cpp_calc_sigmoid__data__init_theta_362,1
2,lr.cpp_remap_labels__labels_i_this_forward_mapper_166,1
2,lr.cpp_multiply_d_a__labels_d_a_359,1
2,lr.cpp_push_back_it_first_552,1
2,lr.cpp_log_d_b_d_b_363,1
2,lr.cpp_push_back_ii_553,1
2,lr.cpp_copyTo_results_304,1
2,lr.cpp_release_587,1
2,lr.cpp_release_586,1
2,lr.cpp_release_585,1
2,lr.cpp_CV_Assert_val_lmap_end_577,1
2,lr.cpp_find_labels_at_int_i_576,1
2,lr.cpp_empty_572,1
2,lr.cpp_CV_Assert_lmap_empty_572,1
2,lr.cpp_zeros_labels_rows_labels_cols_labels_type_570,1
2,lr.cpp_convertTo_labels_CV_32S_568,1
2,lr.cpp_begin_557,1
2,lr.cpp_Mat__data_i_rows_CV_32F_175,1
2,lr.cpp_multiply_d_b__labels_d_b_364,1
2,lr.cpp_begin_549,1
2,lr.cpp_convertTo_labels_CV_32S_542,1
2,lr.cpp_Mat_CV_8U_540,1
2,lr.cpp_Mat_CV_8U_539,1
2,lr.cpp_compute_cost__data__labels_theta_p_464,1
2,lr.cpp_gradient_theta_p_rows_theta_p_cols_theta_p_type_453,1
2,lr.cpp_clone_452,1
2,lr.cpp_CV_TRACE_FUNCTION_438,1
2,lr.cpp_cvIsNaN_cost_369,1
2,lr.cpp_sum_d_b_366,1
2,lr.cpp_sum_d_a_366,1
2,lr.cpp_hconcat_cv_Mat_ones__data_i_rows_CV_32F__data_i_data_t_175,1
2,lr.cpp_empty_142,1
2,lr.cpp_zeros_data_t_cols_CV_32F_179,1
2,lr.cpp_hconcat_cv_Mat_ones_data_rows_CV_32F_data_data_t_255,1
2,lr.cpp_minMaxLoc_temp_pred_NULL_NULL_NULL_max_loc_289,1
2,lr.cpp_push_back_max_loc_x_290,1
2,lr.cpp_convertTo_labels_c_CV_32S_292,1
2,lr.cpp_remap_labels_labels_c_this_reverse_mapper_296,1
2,lr.cpp_col_i_280,1
2,lr.cpp_vconcat_temp_pred_pred_m_col_i_280,1
2,lr.cpp_calc_sigmoid_data_t_thetas_row_i_t_279,1
2,lr.cpp_create_data_t_rows_thetas_rows_data_type_276,1
2,lr.cpp_CV_Assert_data_t_cols_thetas_cols_256,1
2,lr.cpp_Mat_data_rows_CV_32F_255,1
2,lr.cpp_create_num_classes_data_t_cols_CV_32F_197,1
2,lr.cpp_getMat_247,1
2,lr.cpp_CV_Assert_thetas_rows_244,1
2,lr.cpp_isTrained_229,1
2,lr.cpp_convertTo_pred_labs_CV_32S_297,1
2,lr.cpp_sum_this_learnt_thetas_216,1
2,lr.cpp_cvIsNaN_double_sum_this_learnt_thetas_216,1
2,lr.cpp_clone_215,1
2,lr.cpp_hconcat_new_theta_t_thetas_row_ii_209,1
2,lr.cpp_batch_gradient_descent_data_t_labels_init_theta_206,1
2,lr.cpp_convertTo_labels_CV_32F_204,1
2,lr.cpp_begin_200,1
3,data.cpp_CV_Assert_vsymbolflags_i_sflag_rowtypes_i_VAR_MISSED_610,0,125
3,data.cpp_find_token_689,0,125
4,data.cpp_CV_TRACE_FUNCTION_SKIP_NESTED_1031,0,0666666666666667
4,data.cpp_getResponses_159,0,0666666666666667
4,data.cpp_CV_Assert_nvars_int_rowvals_size_599,0,0666666666666667
4,data.cpp_push_back_rowvals_i_618,0,0666666666666667
4,data.cpp_pop_back_619,0,0666666666666667
4,data.cpp_rmat_ninputvars_CV_32F_rowvals_621,0,0666666666666667
