Rank,Block_name,Suspiciousness Value(Ochiai)
1,test_svmsgd.cpp_TEST_284,NaN
1,data.cpp_getNAllVars_154,0.258198889747161
1,lr.cpp_LogisticRegressionImpl_89,NaN
1,data.cpp_preprocessCategorical_434,0.218217890235992
1,lr.cpp_isTrained_105,NaN
1,lr.cpp_create_126,NaN
1,data.cpp_getVarIdx_161,0.258198889747161
1,lr.cpp_train_137,NaN
1,data.cpp_getNormCatResponses_200,0.333333333333333
2,data.cpp_getClassLabels_201,0.277350098112615
2,lr.cpp_if _142,NaN
2,data.cpp_getTrainSamples_848,0.229415733870562
2,test_lr.cpp_run_94,NaN
2,nbayes.cpp_predictProb_308,0.577350269189626
3,data.cpp_getNVars_150,0.301511344577764
4,inner_functions.cpp_train_70,0.188982236504614
4,lr.cpp_predict_227,NaN
4,data.cpp_setData_242,0.185695338177052
5,data.cpp_clear_218,0.162221421130763
6,data.cpp_create_1041,0.160128153805087
7,lr.cpp_calc_sigmoid_316,0
7,lr.cpp_compute_cost_324,0
7,lr.cpp_)_396,NaN
7,data.cpp_TrainDataImpl_128,0.185695338177052
8,lr.cpp_compute_gradient_415,0
8,lr.cpp_batch_gradient_descent_437,0
8,lr.cpp_set_label_map_534,0
8,lr.cpp_remap_labels_566,0
8,lr.cpp_get_learnt_thetas_103,0
8,lr.cpp_clear_584,NaN
8,lr.cpp_LogisticRegressionImpl_88,0
8,test_emknearestkmeans.cpp_run_612,NaN
8,data.cpp_if _657,NaN
8,test_emknearestkmeans.cpp_CV_TRACE_FUNCTION_54,0.223606797749979
9,test_emknearestkmeans.cpp_FileStorage_566,0
9,em.cpp_computeLogWeightDivDet_455,0
9,em.cpp_clear_95,NaN
9,em.cpp_trainEM_122,0
9,em.cpp_trainE_135,0
9,em.cpp_trainM_152,0
9,em.cpp_predict2_190,0
9,em.cpp_isTrained_217,NaN
9,test_emknearestkmeans.cpp_TEST_704,0.150755672288882
10,em.cpp_checkTrainData_239,0
10,em.cpp_preprocessProbability_304,0
10,em.cpp_setTrainData_326,0
10,em.cpp_decomposeCovs_364,0
10,em.cpp_clusterTrainSamples_396,0
10,em.cpp_doTrain_477,NaN
10,test_emknearestkmeans.cpp_run_541,NaN
10,em.cpp_computeProbabilities_559,0
10,em.cpp_eStep_629,0
10,em.cpp_mStep_650,0
10,em.cpp_create_844,0
10,test_emknearestkmeans.cpp_runCase_395,0
10,test_emknearestkmeans.cpp_run_449,NaN
10,test_emknearestkmeans.cpp_run_450,NaN
10,em.cpp_write_params_762,0
10,em.cpp_write_772,NaN
10,em.cpp_write_774,NaN
10,em.cpp_read_params_789,NaN
10,inner_functions.cpp_empty_58,0.160128153805087
10,em.cpp_read_800,NaN
10,test_lr.cpp_calculateError_66,0
10,data.cpp_getVarType_162,0
10,test_lr.cpp_if _100,NaN
10,tree.cpp_predict_1496,NaN
10,tree.cpp_getActiveVars_234,0
10,tree.cpp_addTree_239,0
10,tree.cpp_addNodeAndTrySplit_352,0
10,tree.cpp_findBestSplit_415,0
10,tree.cpp_calcValue_465,0
10,tree.cpp_findSplitOrdClass_640,0
10,tree.cpp_findSplitCatClass_809,0
10,tree.cpp_findSplitOrdReg_987,0
10,tree.cpp_findSplitCatReg_1048,0
10,tree.cpp_calcDir_1134,0
10,tree.cpp_predictTrees_1364,0
10,tree.cpp_writeTrainingParams_1534,0
10,lr.cpp_getDefaultName_107,NaN
10,tree.cpp_writeParams_1551,0
10,tree.cpp_writeParams_1566,NaN
10,tree.cpp_writeSplit_1590,0
10,tree.cpp_writeSplit_1593,NaN
10,tree.cpp_writeNode_1628,0
10,tree.cpp_writeNode_1630,NaN
10,tree.cpp_writeTree_1651,0
10,tree.cpp_write_1684,NaN
10,tree.cpp_create_1941,NaN
