Rank,Block_name,Suspiciousness Value(Dstar4)
1,merge.cpp_createMergeRobertson_363,2147483647
1,merge.cpp_weight_308,2147483647
1,hdr_common.cpp_linearResponse_103,2147483647
2,test_hdr.cpp_checkEqual_54,5,33333333333333
2,hdr_common.cpp_checkImageDimensions_50,5,33333333333333
2,test_hdr.cpp_loadExposureSeq_62,5,33333333333333
3,tonemap.cpp_process_64,4
4,calibrate.cpp_createCalibrateRobertson_307,1
5,test_inpaint.cpp_TEST_119,0,516129032258065
6,test_hdr.cpp_loadResponseCSV_77,0,333333333333333
7,test_hdr.cpp_loadImage_48,0,2
8,tonemap.cpp_saturation_389,0
8,tonemap.cpp_process_209,0
8,tonemap.cpp_createTonemapDurand_279,0
8,tonemap.cpp_color_adapt_292,0
8,tonemap.cpp_process_296,0
8,merge.cpp_if_219,0
8,tonemap.cpp_for_325,0
8,tonemap.cpp_createTonemapReinhard_377,0
8,merge.cpp_if_181,0
8,tonemap.cpp_createTonemapDrago_191,0
8,tonemap.cpp_process_393,0
8,tonemap.cpp_for_411,0
8,tonemap.cpp_if_441,0
8,tonemap.cpp_signedPow_484,0
8,tonemap.cpp_mapContrast_493,0
8,tonemap.cpp_getGradient_501,0
8,tonemap.cpp_sigma_space_205,0
8,tonemap.cpp_process_122,0
8,tonemap.cpp_getContrast_512,0
8,denoising.cpp_fastNlMeansDenoisingMulti_441,0
8,fast_nlmeans_multi_denoising_invoker.hpp_calcDistSumsForFirstElementInRow_282,0
8,fast_nlmeans_multi_denoising_invoker.hpp_calcDistSumsForElementInFirstRow_324,0
8,test_denoising.cpp_for _112,0
8,denoising.cpp_fastNlMeansDenoisingColoredMulti_391,0
8,denoising.cpp_CV_Error_413,0
8,denoising.cpp_cvtColor_426,0
8,hdr_common.cpp_mapLuminance_91,0
8,tonemap.cpp_bias_118,0
8,hdr_common.cpp_for_94,0
8,tonemap.cpp_gamma_60,0
8,merge.cpp_for_228,0
8,tonemap.cpp_if_74,0
8,tonemap.cpp_setGamma_84,0
8,tonemap.cpp_createTonemap_106,0
8,tonemap.cpp_if_506,0
8,tonemap.cpp_for_519,0
8,merge.cpp_for_176,0
8,align.cpp_while_268,0
8,align.cpp_buildPyr_249,0
8,merge.cpp_for_192,0
8,align.cpp_for_252,0
8,align.cpp_getMedian_258,0
8,align.cpp_getMedian_262,0
8,align.cpp_getMedian_263,0
8,align.cpp_createAlignMTB_277,0
8,tonemap.cpp_calculateSum_527,0
8,test_hdr.cpp_TEST_129,0
8,test_hdr.cpp_for_146,0
8,merge.cpp_cvtColor_183,0
8,hdr_common.cpp_for_56,0
8,merge.cpp_wexp_150,0
8,merge.cpp_process_161,0
8,merge.cpp_for_198,0
8,align.cpp_for_239,0
8,align.cpp_for_237,0
8,align.cpp_downsample_231,0
8,align.cpp_computeBitmaps_213,0
8,merge.cpp_for_206,0
8,align.cpp_shiftMat_168,0
8,align.cpp_if_156,0
8,align.cpp_for_147,0
8,align.cpp_for_146,0
8,align.cpp_for_137,0
8,align.cpp_calculateShift_120,0
8,align.cpp_cut_58,0
8,test_hdr.cpp_TEST_90,0
8,fast_nlmeans_multi_denoising_invoker.hpp_extended_srcs__107,0
8,tonemap.cpp_createTonemapMantiuk_551,0
8,tonemap.cpp_calculateProduct_543,0
8,fast_nlmeans_multi_denoising_invoker.hpp_ _161,0
8,denoising.cpp_switch _347,0
8,merge.cpp_for_242,0
8,contrast_preserve.hpp_add_to_vector_poly_221,0
8,seamless_cloning_impl.cpp_scalarProduct_281,0
8,seamless_cloning_impl.cpp_localColorChange_410,0
8,test_cloning.cpp_TEST_157,0
8,seamless_cloning.cpp_illuminationChange_141,0
8,seamless_cloning_impl.cpp_illuminationChange_422,0
8,test_cloning.cpp_TEST_183,0
8,seamless_cloning.cpp_textureFlattening_170,0
8,seamless_cloning_impl.cpp_textureFlatten_455,0
8,test_cloning.cpp_TEST_207,0
8,contrast_preserve.cpp_decolor_54,0
8,contrast_preserve.hpp_energyCalcu_85,0
8,contrast_preserve.hpp_init_112,0
8,contrast_preserve.hpp_product_124,0
8,contrast_preserve.hpp_singleChannelGradx_138,0
8,contrast_preserve.hpp_singleChannelGrady_148,0
8,contrast_preserve.hpp_gradvector_158,0
8,contrast_preserve.hpp_colorGrad_182,0
8,seamless_cloning.cpp_colorChange_113,0
8,test_cloning.cpp_TEST_125,0
8,test_cloning.cpp_TEST_93,0
8,seamless_cloning_impl.cpp_float>_143,0
8,seamless_cloning.cpp_seamlessClone_51,0
8,seamless_cloning_impl.cpp_computeGradientX_49,0
8,seamless_cloning_impl.cpp_computeGradientY_70,0
8,seamless_cloning_impl.cpp_computeLaplacianX_91,0
8,seamless_cloning_impl.cpp_computeLaplacianY_99,0
8,seamless_cloning_impl.cpp_dst_107,0
