Rank,Block_name,Suspiciousness Value(Ochiai)
1,test_npr.cpp_TEST_127,NaN
1,tonemap.cpp_createTonemapDrago_191,0
1,tonemap.cpp_process_209,NaN
1,tonemap.cpp_createTonemapDurand_279,0
1,tonemap.cpp_color_adapt_292,NaN
1,tonemap.cpp_process_296,NaN
1,tonemap.cpp_for_325,NaN
1,tonemap.cpp_createTonemapReinhard_377,0
1,tonemap.cpp_saturation_389,NaN
1,tonemap.cpp_process_393,NaN
1,tonemap.cpp_for_411,NaN
1,tonemap.cpp_if_441,NaN
1,tonemap.cpp_signedPow_484,0
1,tonemap.cpp_mapContrast_493,0
1,tonemap.cpp_getGradient_501,0
1,tonemap.cpp_if_506,NaN
1,test_hdr.cpp_checkEqual_54,0.632455532033676
2,test_hdr.cpp_loadImage_48,0.316227766016838
3,tonemap.cpp_getContrast_512,0
3,tonemap.cpp_sigma_space_205,NaN
3,tonemap.cpp_process_122,NaN
3,tonemap.cpp_calculateSum_527,0
3,tonemap.cpp_bias_118,NaN
3,fast_nlmeans_multi_denoising_invoker.hpp_extended_srcs__107,NaN
3,fast_nlmeans_multi_denoising_invoker.hpp_ _161,NaN
3,fast_nlmeans_multi_denoising_invoker.hpp_calcDistSumsForFirstElementInRow_282,NaN
3,fast_nlmeans_multi_denoising_invoker.hpp_calcDistSumsForElementInFirstRow_324,NaN
3,test_denoising.cpp_for _112,NaN
3,denoising.cpp_fastNlMeansDenoisingColoredMulti_391,NaN
3,denoising.cpp_CV_Error_413,NaN
3,denoising.cpp_cvtColor_426,0
3,denoising.cpp_fastNlMeansDenoisingMulti_441,NaN
3,hdr_common.cpp_mapLuminance_91,0
3,hdr_common.cpp_for_94,NaN
3,tonemap.cpp_gamma_60,NaN
3,tonemap.cpp_process_64,0.577350269189626
3,tonemap.cpp_if_74,NaN
3,hdr_common.cpp_checkImageDimensions_50,0.632455532033676
4,tonemap.cpp_setGamma_84,0
4,tonemap.cpp_createTonemap_106,0
4,tonemap.cpp_for_519,NaN
4,tonemap.cpp_createTonemapMantiuk_551,0
4,tonemap.cpp_calculateProduct_543,0
4,merge.cpp_cvtColor_183,NaN
4,test_hdr.cpp_TEST_129,NaN
4,test_hdr.cpp_for_146,NaN
4,hdr_common.cpp_for_56,NaN
4,merge.cpp_wexp_150,NaN
4,merge.cpp_process_161,NaN
4,merge.cpp_for_176,NaN
4,merge.cpp_if_181,NaN
4,merge.cpp_for_192,NaN
4,npr.hpp_find_magnitude_135,0
4,merge.cpp_for_198,NaN
4,merge.cpp_for_206,NaN
4,merge.cpp_if_219,NaN
4,merge.cpp_for_228,NaN
4,merge.cpp_for_237,NaN
4,merge.cpp_for_242,NaN
4,merge.cpp_for_245,NaN
4,align.cpp_createAlignMTB_277,0
4,align.cpp_while_268,NaN
4,align.cpp_getMedian_263,NaN
4,align.cpp_getMedian_262,NaN
4,test_hdr.cpp_TEST_90,NaN
4,align.cpp_cut_58,NaN
4,align.cpp_calculateShift_120,0
4,align.cpp_for_137,NaN
4,align.cpp_for_146,NaN
4,align.cpp_for_147,NaN
4,align.cpp_if_156,NaN
4,align.cpp_shiftMat_168,0
4,align.cpp_computeBitmaps_213,0
4,align.cpp_downsample_231,0
4,align.cpp_for_237,NaN
4,align.cpp_for_239,NaN
4,align.cpp_buildPyr_249,0
4,align.cpp_for_252,NaN
4,align.cpp_getMedian_258,0
4,denoising.cpp_switch _347,NaN
4,denoising.cpp_switch _345,NaN
4,denoising.cpp_fastNlMeansDenoisingMulti_328,NaN
4,seamless_cloning_impl.cpp_textureFlatten_455,0
4,seamless_cloning_impl.cpp_scalarProduct_281,0
4,seamless_cloning_impl.cpp_localColorChange_410,0
4,test_cloning.cpp_TEST_157,NaN
4,seamless_cloning.cpp_illuminationChange_141,0
4,seamless_cloning_impl.cpp_illuminationChange_422,NaN
4,test_cloning.cpp_TEST_183,NaN
4,seamless_cloning.cpp_textureFlattening_170,0
4,test_cloning.cpp_TEST_207,NaN
4,test_cloning.cpp_TEST_125,NaN
4,contrast_preserve.cpp_decolor_54,0
4,contrast_preserve.hpp_energyCalcu_85,0
4,contrast_preserve.hpp_init_112,0
4,contrast_preserve.hpp_product_124,0
4,contrast_preserve.hpp_singleChannelGradx_138,0
4,contrast_preserve.hpp_singleChannelGrady_148,0
4,contrast_preserve.hpp_gradvector_158,0
4,seamless_cloning.cpp_colorChange_113,0
4,test_cloning.cpp_TEST_93,NaN
4,contrast_preserve.hpp_add_vector_212,0
4,seamless_cloning_impl.cpp_float>_143,NaN
4,seamless_cloning.cpp_seamlessClone_51,0
4,seamless_cloning_impl.cpp_computeGradientX_49,0
4,seamless_cloning_impl.cpp_computeGradientY_70,0
4,seamless_cloning_impl.cpp_computeLaplacianX_91,0
4,seamless_cloning_impl.cpp_computeLaplacianY_99,0
4,seamless_cloning_impl.cpp_dst_107,0
4,seamless_cloning_impl.cpp_for_124,NaN
4,seamless_cloning_impl.cpp_solve_160,0
4,test_cloning.cpp_TEST_62,NaN
4,seamless_cloning_impl.cpp_poissonSolver_220,0
4,seamless_cloning_impl.cpp_initVariables_242,0
4,seamless_cloning_impl.cpp_computeDerivatives_264,0
