Rank,Block_name,Suspiciousness Value(Dstar4)
1,seamless_cloning.cpp_seamlessClone_51,2147483647
1,seamless_cloning_impl.cpp_normalClone_341,2147483647
2,seamless_cloning_impl.cpp_float>_143,27
2,seamless_cloning_impl.cpp_evaluate_327,27
2,seamless_cloning_impl.cpp_computeGradientX_49,27
2,seamless_cloning_impl.cpp_computeGradientY_70,27
2,seamless_cloning_impl.cpp_computeLaplacianX_91,27
2,seamless_cloning_impl.cpp_computeLaplacianY_99,27
2,seamless_cloning_impl.cpp_dst_107,27
2,seamless_cloning_impl.cpp_for_124,27
2,seamless_cloning_impl.cpp_solve_160,27
2,seamless_cloning_impl.cpp_poissonSolver_220,27
2,seamless_cloning_impl.cpp_initVariables_242,27
2,seamless_cloning_impl.cpp_computeDerivatives_264,27
2,seamless_cloning_impl.cpp_arrayProduct_291,27
2,seamless_cloning_impl.cpp_poisson_305,27
3,test_inpaint.cpp_TEST_119,2,7
4,test_cloning.cpp_TEST_93,0,5
4,test_cloning.cpp_TEST_125,0,5
4,test_cloning.cpp_TEST_62,0,5
5,tonemap.cpp_saturation_389,0
5,test_hdr.cpp_TEST_90,0
5,test_hdr.cpp_checkEqual_54,0
5,test_hdr.cpp_loadImage_48,0
5,tonemap.cpp_createTonemapMantiuk_551,0
5,tonemap.cpp_calculateProduct_543,0
5,tonemap.cpp_calculateSum_527,0
5,tonemap.cpp_for_519,0
5,tonemap.cpp_getContrast_512,0
5,tonemap.cpp_if_506,0
5,tonemap.cpp_getGradient_501,0
5,tonemap.cpp_mapContrast_493,0
5,tonemap.cpp_signedPow_484,0
5,tonemap.cpp_if_441,0
5,tonemap.cpp_for_411,0
5,tonemap.cpp_process_393,0
5,tonemap.cpp_bias_118,0
5,tonemap.cpp_createTonemapReinhard_377,0
5,align.cpp_calculateShift_120,0
5,hdr_common.cpp_for_93,0
5,tonemap.cpp_gamma_60,0
5,tonemap.cpp_process_64,0
5,tonemap.cpp_if_74,0
5,tonemap.cpp_setGamma_84,0
5,tonemap.cpp_createTonemap_106,0
5,tonemap.cpp_process_122,0
5,tonemap.cpp_for_325,0
5,tonemap.cpp_createTonemapDrago_191,0
5,tonemap.cpp_sigma_space_205,0
5,tonemap.cpp_process_209,0
5,tonemap.cpp_createTonemapDurand_279,0
5,tonemap.cpp_color_adapt_292,0
5,tonemap.cpp_process_296,0
5,align.cpp_cut_58,0
5,align.cpp_buildPyr_249,0
5,align.cpp_for_137,0
5,merge.cpp_for_192,0
5,hdr_common.cpp_for_56,0
5,merge.cpp_wexp_150,0
5,merge.cpp_process_161,0
5,merge.cpp_for_176,0
5,merge.cpp_if_181,0
5,merge.cpp_cvtColor_183,0
5,merge.cpp_for_198,0
5,align.cpp_for_146,0
5,merge.cpp_for_206,0
5,merge.cpp_if_219,0
5,merge.cpp_for_228,0
5,merge.cpp_for_237,0
5,merge.cpp_for_242,0
5,merge.cpp_for_245,0
5,hdr_common.cpp_checkImageDimensions_50,0
5,test_hdr.cpp_for_146,0
5,test_hdr.cpp_TEST_129,0
5,align.cpp_createAlignMTB_277,0
5,align.cpp_while_268,0
5,align.cpp_getMedian_263,0
5,align.cpp_getMedian_262,0
5,align.cpp_getMedian_258,0
5,align.cpp_for_252,0
5,denoising.cpp_fastNlMeansDenoisingMulti_441,0
5,align.cpp_for_239,0
5,align.cpp_for_237,0
5,align.cpp_downsample_231,0
5,align.cpp_computeBitmaps_213,0
5,align.cpp_shiftMat_168,0
5,align.cpp_if_156,0
5,align.cpp_for_147,0
5,hdr_common.cpp_mapLuminance_90,0
5,denoising.cpp_switch _345,0
5,denoising.cpp_cvtColor_426,0
5,contrast_preserve.hpp_wei_inti_367,0
5,contrast_preserve.hpp_colorGrad_182,0
5,contrast_preserve.hpp_add_vector_212,0
5,contrast_preserve.hpp_add_to_vector_poly_221,0
5,contrast_preserve.hpp_weak_order_229,0
5,contrast_preserve.hpp_grad_system_304,0
5,contrast_preserve.hpp_wei_update_matrix_344,0
5,contrast_preserve.hpp_grayImContruct_394,0
5,test_denoise_tvl1.cpp_make_noisy_44,0
5,test_decolor.cpp_TEST_51,0
5,denoise_tvl1.cpp_denoise_TVL1_61,0
5,denoise_tvl1.cpp_for_71,0
5,denoise_tvl1.cpp_for_78,0
5,denoise_tvl1.cpp_for_110,0
5,denoise_tvl1.cpp_for_128,0
5,contrast_preserve.hpp_gradvector_158,0
5,contrast_preserve.hpp_singleChannelGrady_148,0
5,contrast_preserve.hpp_singleChannelGradx_138,0
5,contrast_preserve.hpp_product_124,0
5,contrast_preserve.hpp_init_112,0
5,contrast_preserve.hpp_energyCalcu_85,0
5,contrast_preserve.cpp_decolor_54,0
5,test_cloning.cpp_TEST_207,0
5,seamless_cloning_impl.cpp_textureFlatten_455,0
5,seamless_cloning.cpp_textureFlattening_181,0
5,test_cloning.cpp_TEST_183,0
5,seamless_cloning_impl.cpp_illuminationChange_422,0
5,seamless_cloning.cpp_illuminationChange_152,0
5,test_cloning.cpp_TEST_157,0
5,seamless_cloning_impl.cpp_localColorChange_410,0
5,seamless_cloning_impl.cpp_scalarProduct_281,0
5,seamless_cloning.cpp_colorChange_124,0
5,denoise_tvl1.cpp_for_139,0
5,test_denoise_tvl1.cpp_validate_pixel_71,0
5,denoising.cpp_CV_Error_413,0
5,merge.cpp_for_256,0
5,test_denoising.cpp_for _97,0
5,arrays.hpp_ _166,0
5,denoising.cpp_fastNlMeansDenoisingMultiCheckPreconditions_219,0
5,denoising.cpp_fastNlMeansDenoisingMulti__253,0
5,denoising.cpp_fastNlMeansDenoisingMulti_317,0
5,denoising.cpp_fastNlMeansDenoisingMulti_328,0
5,denoising.cpp_switch _347,0
5,test_denoise_tvl1.cpp_TEST_78,0
5,fast_nlmeans_multi_denoising_invoker.hpp_extended_srcs__107,0
5,fast_nlmeans_multi_denoising_invoker.hpp_ _161,0
5,fast_nlmeans_multi_denoising_invoker.hpp_calcDistSumsForFirstElementInRow_282,0
5,fast_nlmeans_multi_denoising_invoker.hpp_calcDistSumsForElementInFirstRow_324,0
5,test_denoising.cpp_for _112,0
5,denoising.cpp_fastNlMeansDenoisingColoredMulti_391,0
5,test_denoising.cpp_for _82,0
5,denoising.cpp_fastNlMeansDenoising_208,0
5,denoising.cpp_ab_202,0
5,denoising.cpp_ab_201,0
5,denoising.cpp_fastNlMeansDenoisingColored_176,0
5,test_denoising.cpp_if _62,0
5,fast_nlmeans_denoising_invoker.hpp_calcDistSumsForElementInFirstRow_296,0
5,fast_nlmeans_denoising_invoker.hpp_calcDistSumsForFirstElementInRow_262,0
5,fast_nlmeans_denoising_invoker.hpp_ _150,0
5,fast_nlmeans_denoising_invoker.hpp_dst__109,0
5,denoising.cpp_switch _139,0
5,denoising.cpp_switch _132,0
5,denoising.cpp_fastNlMeansDenoising_115,0
5,denoising.cpp_fastNlMeansDenoising_106,0
5,denoising.cpp_switch _55,0
5,denoising.cpp_fastNlMeansDenoising__51,0
5,arrays.hpp_ _119,0
5,merge.cpp_if_249,0
5,test_npr.cpp_TEST_127,0
5,npr.hpp_find_magnitude_135,0
5,inpaint.cpp_float)_378,0
5,inpaint.cpp_if _363,0
5,inpaint.cpp_float)_365,0
5,inpaint.cpp_if _369,0
5,inpaint.cpp_if _370,0
5,inpaint.cpp_float)_372,0
5,inpaint.cpp_float)_375,0
5,inpaint.cpp_if _376,0
5,inpaint.cpp_icvNSInpaintFMM_518,0
5,inpaint.cpp_float)_359,0
5,inpaint.cpp_if _522,0
5,inpaint.cpp_while _524,0
5,inpaint.cpp_for_527,0
5,inpaint.cpp_ _528,0
5,inpaint.cpp_if_529,0
5,inpaint.cpp_if_530,0
5,inpaint.cpp_if_531,0
5,inpaint.cpp_float)_362,0
5,inpaint.cpp_if _356,0
5,inpaint.cpp_for _541,0
5,inpaint.cpp_float)_322,0
5,inpaint.cpp_if_299,0
5,inpaint.cpp_if _302,0
5,inpaint.cpp_for _309,0
5,inpaint.cpp_if _313,0
5,inpaint.cpp_float)_316,0
5,inpaint.cpp_float)_319,0
5,inpaint.cpp_if _320,0
5,inpaint.cpp_if _326,0
5,inpaint.cpp_if _343,0
5,inpaint.cpp_if _327,0
5,inpaint.cpp_float)_329,0
5,inpaint.cpp_float)_332,0
5,inpaint.cpp_if _333,0
5,inpaint.cpp_float)_335,0
5,inpaint.cpp_for _339,0
5,inpaint.cpp_for _341,0
5,inpaint.cpp_if _534,0
